scrapedURL,concactURL,Price,nestedAddress,totalAddress,bed,bath,sqFeet,imageURL,latitude,longitude,outputAddress,,original URL,http://calgary.craigslist.ca/search/apa/
/apa/4897992600.html,http://calgary.craigslist.ca/apa/4897992600.html,1400,33 ave n e,"33 ave n e, Calgary, Alberta, Canada",2,1,1000,http://images.craigslist.org/00d0d_7jKAC713lnQ_600x450.jpg,51.082384,-114.054135,"33 Avenue Northeast, Calgary, AB T2E, Canada",,,
/apa/4897870795.html,http://calgary.craigslist.ca/apa/4897870795.html,1600,317 14th ave SW,"317 14th ave SW, Calgary, Alberta, Canada",2,1,912,http://images.craigslist.org/00404_gAlXffEi482_600x450.jpg,51.03963,-114.069477,"317 14 Avenue Southwest, Calgary, AB T2R 0M4, Canada",,,
/apa/4897862574.html,http://calgary.craigslist.ca/apa/4897862574.html,1495,330 Canterbury Drive SW,"330 Canterbury Drive SW, Calgary, Alberta, Canada",2,1.5,1000,http://images.craigslist.org/00m0m_jRtesEufFn8_600x450.jpg,50.949046,-114.083405,"330 Canterbury Drive Southwest, Calgary, AB T2W 1H6, Canada",,,
/apa/4897791248.html,http://calgary.craigslist.ca/apa/4897791248.html,1750,4256 40 AVE NW,"4256 40 AVE NW, Calgary, Alberta, Canada",5,2,#N/A,http://images.craigslist.org/00101_hezOmqQE8og_600x450.jpg,51.088315,-114.150737,"4256 40 Avenue Northwest, Calgary, AB T3A 0X1, Canada",,,
/apa/4897779962.html,http://calgary.craigslist.ca/apa/4897779962.html,1550,11 Hunterhorn Pl NE,"11 Hunterhorn Pl NE, Calgary, Alberta, Canada",5,2,#N/A,http://images.craigslist.org/00G0G_5o1xRqyYPbv_600x450.jpg,51.115289,-114.052589,"11 Hunterhorn Place Northeast, Calgary, AB T2K 6H3, Canada",,,
/apa/4897663743.html,http://calgary.craigslist.ca/apa/4897663743.html,1550,110 panatella Park NW,"110 panatella Park NW, Calgary, Alberta, Canada",3,1.5,#N/A,http://images.craigslist.org/00w0w_lxq3QHjjYo_600x450.jpg,51.166377,-114.069491,"110 Panatella Park Northwest, Calgary, AB T3K 6L5, Canada",,,
/apa/4897598132.html,http://calgary.craigslist.ca/apa/4897598132.html,1850,Victoria Park,"Victoria Park, Calgary, Alberta, Canada",1,1,700,http://images.craigslist.org/00l0l_1s0TwfnRR7B_600x450.jpg,51.041635,-114.055849,"Victoria Park, Calgary, AB, Canada",,,
/apa/4897571557.html,http://calgary.craigslist.ca/apa/4897571557.html,1900,3104 109 Ave SW,"3104 109 Ave SW, Calgary, Alberta, Canada",3,1.5,#N/A,#N/A,50.955921,-114.12991,"3104 109 Avenue Southwest, Calgary, AB T2W 3H2, Canada",,,
/apa/4890264330.html,http://calgary.craigslist.ca/apa/4890264330.html,1500,813 - 13th Avenue SW,"813 - 13th Avenue SW, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00t0t_ciHPlmzi4zT_600x450.jpg,51.040778,-114.079803,"813 13 Avenue Southwest, Calgary, AB T2R 0L1, Canada",,,
/apa/4890274905.html,http://calgary.craigslist.ca/apa/4890274905.html,1500,725 - 15 Avenue SW,"725 - 15 Avenue SW, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00m0m_6ovacctV4Oi_600x450.jpg,51.038997,-114.078192,"725 15 Avenue Southwest, Calgary, AB T2R, Canada",,,
